"sample_ID","meanCoverage","medianCoverage","signif.propAmbiguous..3."
"JYL-03",261,278,0.0707
"JYL-31",603,643,0.0806
"JYL-33",150,146,0.0865
"JYL-36",138,135,0.0831
"JYL-37",132,132,0.0808
"JYL-38",469,490,0.0816
"JYL-39",210,224,0.0752
"JYL-40",228,239,0.0792
"JYL-41",259,266,0.0698
"JYL-42",177,181,0.0874
"JYL-44",186,188,0.0751
"JYL-45",308,316,0.0715
"JYL-49",164,161,0.0772
"JYL-50",388,405,0.0697
"JYL-51",88.6,95,0.0774
"JYL-53",63.9,64,0.0879
"JYL-55",268,277,0.0742
"JYL-56",292,300,0.082
"JYL-59",88.6,90,0.0875
"JYL-61",280,293,0.0739
"JYL-67",738,769,0.0732
"JYL-68",326,333,0.0673
"JYL-70",151,158,0.0793
"JYL-71",93.4,97,0.0796
"JYL-72",238,240,0.0808
"JYL-74",180,178,0.081
"PEZ-096",112,112,0.085
"PEZ-098",350,365,0.0742
"PEZ-102",107,108,0.0844
"PEZ-105",93.2,97,0.0859
"PEZ-106",234,249,0.0793
"PEZ-107",197,195,0.0711
"PEZ-108",259,260,0.0809
"PEZ-136",108,114,0.0862
"PEZ-148",282,286,0.0661
"PEZ-162",275,266,0.0894
"PEZ-163",165,171,0.0845
"PEZ-164",940,994,0.00185
"PEZ-165",149,154,0.0902
"PEZ-166",235,246,0.0838
"PEZ-168",46.7,48,0.0902
"PEZ-169",210,227,0.079
"PEZ-170",50.2,53,0.0859
"PEZ-172",254,281,0.0485
"PEZ-174",212,234,0.0748
"PEZ-177",118,120,0.0737
"PEZ-179",76.3,79,0.0728
"PEZ-180",123,130,0.0799
"PEZ-183",270,288,0.0747
"PEZ-184",99.4,107,0.0892
"PEZ-185",224,228,0.0741
"PEZ-186",143,151,0.0796
"PEZ-187",157,164,0.0822
"PEZ-189",141,146,0.0784
"PEZ-190",88.5,96,0.0826
"PEZ-191",112,116,0.0797
"PEZ-192",53.2,54,0.0913
"PEZ-193",178,185,0.0971
"PEZ-194",66.5,68,0.0952
"PEZ-196",148,151,0.0779
"PEZ-197",73.8,75,0.0901
"PEZ-198",82.7,85,0.0816
"PEZ-200",61.6,63,0.0883
"PEZ-201",103,111,0.0933
"PEZ-202",55.8,57,0.0696
"PEZ-203",114,117,0.0699
"PEZ-204",85,89,0.000433
"PEZ-205",350,366,0.077
"PEZ-206",185,194,0.0749
"PEZ-208",363,382,0.0695
"PEZ-209",38.9,38,0.0899
"PEZ-210",23.1,23,0.0807
"PEZ-211",136,143,0.0772
"PEZ-212",63.9,68,0.0783
"PEZ-213",87.1,88,0.0752
"PEZ-214",81.8,74,0.0805
"PEZ-215",115,121,0.0754
"PEZ-217",125,128,0.0808
"PEZ-218",79.6,80,0.0713
"PEZ-219",26.1,27,0.08
"PEZ-221",248,266,0.0739
"PEZ-222",302,319,0.0742
"PEZ-223",92.5,100,0.0932
"PEZ-224",424,445,0.0786
"PEZ-226",211,218,0.0743
"PEZ-228",197,209,0.0737
"PEZ-231",33.4,34,0.0862
"PEZ-232",70.6,72,0.0809
"PEZ-233",82.4,87,0.0802
"PEZ-234",250,273,0.0762
"PEZ-235",59.6,62,0.0825
"PEZ-236",123,128,0.0812
"PEZ-237",145,155,0.0873
"PEZ-238",91.4,96,0.0846
"PEZ-239",84.6,89,0.067
"PEZ-241",43,45,0.0894
"PEZ-242",94.2,102,0.0622
"PEZ-243",156,167,0.0646
"PEZ-244",92.4,99,0.081
"PEZ-245",33,33,0.0882
"PEZ-246",109,115,0.0698
"PEZ-247",695,803,0.00116
"PEZ-248",133,139,0.0725
"PEZ-249",97.3,103,0.0737
"PEZ-250",38.6,40,0.104
"PEZ-251",88.6,90,0.121
"PEZ-253",127,129,0.0828
"PEZ-254",110,119,0.0889
"PEZ-265",61.8,65,0.0823
"PEZ-267",162,175,0.0785
"PEZ-269",471,502,0.0648
"PEZ-272",151,147,0.09
"PEZ-273",139,141,0.0855
"PEZ-275",83.5,88,0.0878
"PEZ-276",240,252,0.0808
"PEZ-278",353,376,0.0902
"PEZ-280",206,213,0.0901
"PEZ-281",114,118,0.0864
"PEZ-282",205,218,0.091
"PEZ-283",272,295,0.0766
"PEZ-284",181,185.5,0.0784
"PEZ-285",175,182,0.079
"PEZ-287",618,614,0.0735
"PEZ-288",118,117,0.0882
"PEZ-289",100,98,0.0808
"PEZ-290",225,248,0.0828
"PEZ-291",94,97,0.0831
"PEZ-292",42.9,43,0.077
"PEZ-293",373,383,0.0835
"PEZ-294",258,270,0.0736
"PEZ-295",193,179,0.0799
"PEZ-296",544,561,0.0773
"PEZ-297",128,130,0.0866
"PEZ-298",421,451,0.0784
"PEZ-302",66.2,66,0.0952
"PEZ-304",201,213,0.0838
